index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
90,0.65,1,4,5,2.78918,2.78925,2.78919,2.78918,2.78923,2.78925,2.78194,2.782,2.782
91,0.65,1,5,1,37.0405,34.5488,36.9518,37.7767,35.4297,35.3369,0.245475,0.245452,0.490927
92,0.65,1,5,2,14.4227,21.4061,35.7732,28.9669,4.1931,33.0044,1.85462,4.18281,2.34771
93,0.65,1,5,3,21.3026,35.7433,14.5003,4.10431,32.9267,28.9936,4.09308,2.30993,1.80479
94,0.65,1,5,4,37.0405,15.0376,22.0383,34.1039,30.0586,4.14864,2.06906,2.06878,4.13784
95,0.65,1,5,5,4.14517,4.14531,4.14518,4.14515,4.14528,4.14529,4.13797,4.1381,4.13809
96,0.65,1,6,1,39.9309,37.0143,39.7535,40.7413,38.0733,37.8872,0.263193,0.263166,0.526358
97,0.65,1,6,2,15.7556,22.7092,38.4074,31.2571,4.19394,35.2772,1.84218,4.18368,2.36495
98,0.65,1,6,3,22.598,38.3744,15.8381,4.1002,35.1932,31.2847,4.08893,2.32413,1.7908
99,0.65,1,6,4,39.9309,16.4952,23.4722,36.6003,32.5688,4.14697,2.06823,2.06794,4.13618
100,0.65,1,6,5,4.14349,4.14363,4.1435,4.14346,4.14359,4.1436,4.13629,4.13642,4.13641
101,0.65,1,7,1,51.87491,46.91653,51.11276,52.93351,48.89379,48.08442,0.5508514,0.5507849,1.101636
102,0.65,1,7,2,19.20277,30.06041,49.02218,39.32853,6.86964,45.62476,2.98471,6.859692,3.957094
103,0.65,1,7,3,29.82867,48.96001,19.3879,6.688251,45.45243,39.39621,6.677066,3.881473,2.887966
104,0.65,1,7,4,51.87491,20.52302,31.51554,48.12232,41.75786,6.778449,3.384201,3.383626,6.767827
105,0.65,1,7,5,6.775011,6.775332,6.774988,6.774913,6.775256,6.775233,6.767865,6.768208,6.768152
106,0.65,1,8,1,60.66785,53.91517,59.19964,61.81561,56.77515,55.20351,0.8358566,0.8357477,1.671604
107,0.65,1,8,2,21.70246,35.33442,56.52219,45.0295,9.023684,52.96401,3.923795,9.013964,5.257877
