index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
109,0.65,1,8,4,60.66785,29.21276,32.78574,53.72025,51.61724,7.659176,3.825499,3.824651,7.650151
110,0.65,1,8,5,7.656698,7.656737,7.656365,7.656407,7.656778,7.656446,7.650428,7.6508,7.650429
111,0.65,1,9,1,64.21351,56.60455,62.10864,65.2115,59.99276,57.73423,0.9140353,0.9138679,1.827903
112,0.65,1,9,2,29.11358,31.86392,59.16481,50.59913,8.666816,52.23014,3.65685,8.657967,5.205554
113,0.65,1,9,3,31.63663,59.36404,29.45341,8.419546,52.22523,50.93225,8.410642,5.097879,3.526134
114,0.65,1,9,4,64.21351,31.09831,34.69914,56.82634,54.70192,8.541894,4.266961,4.265976,8.532937
115,0.65,1,9,5,8.539525,8.539565,8.539103,8.539167,8.539629,8.539207,8.533239,8.5337,8.533236
116,0.65,1,10,1,72.4789,62.95929,69.22523,73.31836,67.43382,63.9239,1.334183,1.333915,2.668097
117,0.65,1,10,2,33.07533,35.46855,65.75036,56.49814,11.26758,57.93178,4.787325,11.25889,6.850418
118,0.65,1,10,3,35.12208,66.03287,33.55833,10.94074,57.91268,56.97779,10.93212,6.71034,4.616743
119,0.65,1,10,4,72.4789,35.70697,39.19799,64.04256,61.96728,11.1017,5.547164,5.545775,11.09294
120,0.65,1,10,5,11.09969,11.09973,11.09895,11.0991,11.09988,11.09914,11.09331,11.09409,11.0933
121,0.65,1,11,1,79.8954,68.63156,75.36414,80.44817,74.17846,69.27428,1.89917,1.898756,3.797924
122,0.65,1,11,2,36.98535,38.75585,71.4571,61.76837,14.5343,62.84463,6.259836,14.52583,8.922719
123,0.65,1,11,3,38.24098,71.84368,37.64791,14.11798,62.79703,62.43751,14.1097,8.75119,6.039719
124,0.65,1,11,4,79.8954,40.25094,43.34944,70.48581,68.62358,14.32177,7.157584,7.155675,14.31326
125,0.65,1,11,5,14.32029,14.32033,14.31903,14.31933,14.32063,14.31936,14.31372,14.31502,14.31368
126,0.65,1,12,1,82.63115,70.7387,77.56923,83.03769,76.69572,71.21318,2.180114,2.179624,4.359736
127,0.65,1,12,2,38.58226,40.02856,73.52053,63.73217,16.08801,64.61813,6.977396,16.07965,9.911172
128,0.65,1,12,3,39.42766,73.95558,39.32877,15.63271,64.55276,64.49226,15.62459,9.728619,6.732539
129,0.65,1,12,4,82.63115,42.08699,44.94122,72.85583,71.13053,15.85494,7.924354,7.922191,15.84654
130,0.65,1,12,5,15.85375,15.85378,15.85218,15.85257,15.85417,15.8526,15.84705,15.84865,15.847
131,0.65,1,13,1,84.92037,72.51751,79.39046,85.18565,78.81964,72.82799,2.459039,2.458471,4.917508
132,0.65,1,13,2,40.01696,41.14499,75.23346,65.39591,17.59212,66.09236,7.681253,17.58386,10.87028
133,0.65,1,13,3,40.45777,75.71455,40.84347,17.10101,66.0072,66.24414,17.09303,10.67958,7.411149
134,0.65,1,13,4,84.92037,43.72047,46.31714,74.8376,73.25875,17.34003,8.667083,8.664671,17.33175
135,0.65,1,13,5,17.33914,17.33916,17.33725,17.33773,17.33965,17.33776,17.3323,17.33421,17.33224
136,0.65,1,14,1,88.52588,75.36671,82.21716,88.53018,82.20747,75.37178,3.009451,3.00872,6.018169
137,0.65,1,14,2,42.53205,43.06158,77.91393,68.08015,20.46093,68.41241,9.046512,20.45288,12.70694
138,0.65,1,14,3,42.20287,78.48006,43.50714,19.90616,68.28256,69.09609,19.89846,12.50784,8.723583
139,0.65,1,14,4,88.52588,46.5391,48.61136,77.96128,76.68608,20.17468,10.08476,10.08186,20.16662
140,0.65,1,14,5,20.1744,20.17442,20.17182,20.17251,20.17511,20.17253,20.16724,20.16983,20.16715
141,0.7,1,1,1,14.91254,14.53667,14.97786,15.07895,14.64081,14.70734,0.03309661,0.033095,0.0661916
142,0.7,1,1,2,6.75312,8.10725,14.75634,12.39597,1.279937,13.18268,0.5967793,1.270063,0.6738418
143,0.7,1,1,3,8.099759,14.76321,6.766123,1.267623,13.18252,12.40778,1.257537,0.6684176,0.5896658
144,0.7,1,1,4,14.91254,6.811021,8.199741,13.32728,12.5208,1.273791,0.6319203,0.6318803,1.263801
145,0.7,1,1,5,1.270583,1.270595,1.270584,1.270572,1.270583,1.270584,1.263919,1.263931,1.263925
146,0.7,1,2,1,23.31456,22.35706,23.39378,23.67724,22.6535,22.73502,0.05116228,0.05115857,0.1023208
147,0.7,1,2,2,10.8253,12.12786,22.87762,19.44272,1.311303,20.19697,0.5929758,1.301253,0.7098587
148,0.7,1,2,3,12.11614,22.88811,10.84607,1.292387,20.19649,19.46109,1.282038,0.7009653,0.5826779
149,0.7,1,2,4,23.31456,11.01312,12.37085,20.59064,19.80467,1.301851,0.645851,0.6457895,1.29164
150,0.7,1,2,5,1.298538,1.298551,1.298539,1.298522,1.298533,1.298535,1.291723,1.291735,1.291729
151,0.7,1,3,1,27.10427,25.79023,27.16329,27.56709,26.21519,26.27621,0.05913158,0.05912668,0.1182582
152,0.7,1,3,2,12.64355,13.90581,26.48086,22.57444,1.319783,23.3049,0.5893121,1.309692,0.7226938
153,0.7,1,3,3,13.89222,26.49295,12.66776,1.298117,23.30427,22.59572,1.287699,0.7123145,0.5777602
154,0.7,1,3,4,27.10427,12.91989,14.24666,23.86276,23.09516,1.308952,0.6493783,0.6493076,1.298686
155,0.7,1,3,5,1.305614,1.305627,1.305615,1.305595,1.305607,1.305609,1.29876,1.298771,1.298766
156,0.7,1,4,1,32.32487,30.42966,32.31124,32.92344,31.07894,31.06477,0.1391175,0.1391037,0.2782211
157,0.7,1,4,2,14.69775,16.90632,31.36917,26.54725,2.560617,27.83087,1.12889,2.550815,1.430081
158,0.7,1,4,3,16.87302,31.39765,14.75367,2.511708,27.82894,26.59739,2.501569,1.408065,1.101855
159,0.7,1,4,4,32.32487,15.08914,17.44748,28.69924,27.32971,2.536137,1.263154,1.262991,2.526145
160,0.7,1,4,5,2.532961,2.532986,2.532942,2.532921,2.532965,2.532946,2.526273,2.526316,2.526285
161,0.7,1,5,1,37.04048,34.52961,36.91034,37.75554,35.43165,35.29557,0.2359173,0.2358902,0.4718074
162,0.7,1,5,2,16.61625,19.56137,35.7094,30.11018,3.756445,31.83036,1.636901,3.746859,2.128659
163,0.7,1,5,3,19.50355,35.75754,16.70902,3.676836,31.82655,30.19488,3.666914,2.094381,1.591696
164,0.7,1,5,4,37.04048,17.13231,20.32738,33.04987,31.18664,3.716554,1.853521,1.853247,3.706768
165,0.7,1,5,5,3.713518,3.713553,3.71346,3.713445,3.713538,3.71348,3.70694,3.707033,3.706957
166,0.7,1,6,1,39.93089,36.99357,39.70595,40.71669,38.07638,37.84041,0.2529279,0.2528973,0.5058251
167,0.7,1,6,2,17.96373,20.82269,38.33698,32.41012,3.778683,34.07795,1.635485,3.769048,2.156076
168,0.7,1,6,3,20.7604,38.38846,18.06414,3.694147,34.07356,32.50115,3.684172,2.118862,1.588555
169,0.7,1,6,4,39.93089,18.60182,21.72902,35.53037,33.7088,3.736305,1.86338,1.863088,3.726467
170,0.7,1,6,5,3.733246,3.733281,3.733188,3.73317,3.733264,3.733206,3.726631,3.726724,3.726648
171,0.7,1,7,1,51.87491,46.87584,50.98871,52.86572,48.91094,47.97002,0.5291189,0.5290382,1.058157
172,0.7,1,7,2,23.11968,26.75694,48.86788,41.34904,6.132869,43.48749,2.605456,6.123476,3.597354
173,0.7,1,7,3,26.62088,48.97376,23.32469,5.972006,43.47473,41.53816,5.962322,3.528461,2.516601
174,0.7,1,7,4,51.87491,24.2958,28.46326,46.23143,43.78893,6.051967,3.021482,3.020892,6.042374
175,0.7,1,7,5,6.049141,6.049197,6.048954,6.04896,6.049203,6.049016,6.042595,6.042838,6.042621
176,0.7,1,8,1,60.66785,53.86299,58.98795,61.69574,56.81556,55.01816,0.8025329,0.8023945,1.604927
177,0.7,1,8,2,27.00343,30.84743,56.28339,47.75781,8.034828,50.03192,3.399081,8.025571,4.789377
178,0.7,1,8,3,30.63453,56.4412,27.30957,7.809472,50.00784,48.04285,7.799995,4.693542,3.277222
179,0.7,1,8,4,60.66785,28.71711,33.31275,54.02462,51.31848,7.92113,3.956279,3.95541,7.911689
180,0.7,1,8,5,7.918504,7.918578,7.918162,7.918201,7.918617,7.918274,7.911947,7.912363,7.911981
181,0.7,1,9,1,64.21351,56.62722,62.13105,65.21917,59.99929,57.76511,0.9440611,0.943891,1.887952
182,0.7,1,9,2,28.59897,32.4704,59.19136,50.29474,8.959842,52.59272,3.793503,8.95065,5.371179
